品目コード,品目名,仕入先名,荷姿名,発効日,有効日,単価,通貨,備考
1201510520,77TR2034 N1,アンドー株式会社,2000m巻,2024/12/01,無期限,108,JPY,
1201510520,77TR2034 N1,アンドー株式会社,2000m巻,2024/09/01,2024/11/30,103,JPY,期間限定値下げ（電力補助金）
1201510520,77TR2034 N1,アンドー株式会社,2000m巻,2024/07/01,2024/08/31,108,JPY,
1201510520,77TR2034 N1,アンドー株式会社,2000m巻,2023/11/01,2024/06/30,103,JPY,
1201510520,77TR2034 N1,アンドー株式会社,2000m巻,2022/08/01,2023/10/31,97.5,JPY,
1201510520,77TR2034 N1,アンドー株式会社,2000m巻,2021/10/01,2022/07/31,87,JPY,
1201510520,77TR2034 N1,アンドー株式会社,2000m巻,2020/05/22,2021/09/30,85,JPY,
0801023690,EP P-12N グレー,富士色素工業株式会社,8.0ポリ袋,2022/10/01,無期限,570,JPY,
0801023690,EP P-12N グレー,富士色素工業株式会社,8.0ポリ袋,2009/01/01,2022/09/30,535,JPY,
1202010360,GW-33126,伊藤忠商事株式会社,2600m巻,2024/09/01,無期限,109.3,JPY,
1202010360,GW-33126,伊藤忠商事株式会社,2600m巻,2024/04/01,2024/08/31,106.63,JPY,
1202010360,GW-33126,伊藤忠商事株式会社,2600m巻,2023/06/01,2024/03/31,105.98,JPY,
1202010360,GW-33126,伊藤忠商事株式会社,2600m巻,2022/07/01,2023/05/31,99.98,JPY,
1202010360,GW-33126,伊藤忠商事株式会社,2600m巻,2021/10/01,2022/06/30,93,JPY,
1202010360,GW-33126,伊藤忠商事株式会社,2600m巻,2021/06/01,2021/09/30,88.6,JPY,
1202010360,GW-33126,伊藤忠商事株式会社,2600m巻,2015/04/01,2021/05/31,87.7,JPY,
1202010360,GW-33126,伊藤忠商事株式会社,2600m巻 ジョイントあり,2024/09/01,無期限,103.8,JPY,
1202010360,GW-33126,伊藤忠商事株式会社,600m以上2600m未満,2024/09/01,無期限,85.7,JPY,
0804010035,LBT-733 ホワイト,日弘ビックス株式会社,1250kgコンテナー,2024/04/11,無期限,565,JPY,
0804010035,LBT-733 ホワイト,日弘ビックス株式会社,1250kgコンテナー,2023/08/01,2024/04/10,531,JPY,
0804010035,LBT-733 ホワイト,日弘ビックス株式会社,1250kgコンテナー,2023/02/21,2023/07/31,536,JPY,
