文書番号,品名,分類番号（大分類）,分類番号（中分類）,分類番号（小分類）,分類番号（商標）,運送経路,所要時間,運送会社,輸送距離,成分1,成分1_含有量,成分2,成分2_含有量,成分3,成分3_含有量,成分4,成分4_含有量,成分5,成分5_含有量,成分6,成分6_含有量,成分7,成分7_含有量,成分8,成分8_含有量,成分9,成分9_含有量,成分10,成分10_含有量,材料1,材料1_含有量,材料2,材料2_含有量,材料3,材料3_含有量,材料4,材料4_含有量,材料5,材料5_含有量,材料6,材料6_含有量,材料7,材料7_含有量,材料8,材料8_含有量,材料9,材料9_含有量,材料10,材料10_含有量,元価格,改定後の価格,改定時期,改定理由,［成分1］市況単価,［成分2］市況単価,［成分3］市況単価,［成分4］市況単価,［成分1］市況情報,［成分2］市況情報,［成分3］市況情報,［成分4］市況情報,燃動力1,［燃動力1］市況情報,［燃動力1］単価,燃動力2,［燃動力2］市況情報,［燃動力2］単価,燃動力3,［燃動力3］市況情報,［燃動力3］単価,燃動力4,［燃動力4］市況情報,［燃動力4］単価,労務費（時間当り）,［労務費］市況情報,［運賃］円/m
1201510400,TR2034N1,12,01,51,0420,佐野→下館→筑波→土浦,2時間半,有限会社スピード配送,,ポリエステル,65%,レーヨン,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,108,2024/12/01,,250.0,375.0,,,,,,,LNG,,212.5,電力,,162.5,,,,,,,1125,,0.4688
1201510400,TR2034N1,12,01,51,0420,佐野→下館→筑波→土浦,2時間半,有限会社スピード配送,,ポリエステル,65%,レーヨン,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,103,2024/09/01,経済産業省「酷暑乗り切り緊急支援」による電力費値引き,250.0,375.0,,,,,,,LNG,,212.5,電力,,162.5,,,,,,,1125,,0.4688
1201510400,TR2034N1,12,01,51,0420,佐野→下館→筑波→土浦,2時間半,有限会社スピード配送,,ポリエステル,65%,レーヨン,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,108,2024/07/01,電力補助金制度2024年5月打ち切り見通し,250.0,375.0,,,,,,,LNG,,212.5,電力,,162.5,,,,,,,1125,,0.4688
1201510400,TR2034N1,12,01,51,0420,佐野→下館→筑波→土浦,2時間半,有限会社スピード配送,,ポリエステル,65%,レーヨン,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.5,103,2023/11/01,電力料金大幅上昇・国の補助金終了,240.0,360.0,,,,,,,LNG,,204.0,電力,,156.0,,,,,,,1080,,0.4500
1201510400,TR2034N1,12,01,51,0420,佐野→下館→筑波→土浦,2時間半,有限会社スピード配送,,ポリエステル,65%,レーヨン,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,97.5,2022/08/01,原糸7.5%値上げ・サイジング糊剤20%値上げ・ビニプラン高騰,230.0,345.0,,,,,,,LNG,,195.5,電力,,149.5,,,,,,,1035,,0.4312
1201510400,TR2034N1,12,01,51,0420,佐野→下館→筑波→土浦,2時間半,有限会社スピード配送,,ポリエステル,65%,レーヨン,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,87,2021/10/01,,210.0,315.0,,,,,,,LNG,,178.5,電力,,136.5,,,,,,,945,,0.3937
1201510400,TR2034N1,12,01,51,0420,佐野→下館→筑波→土浦,2時間半,有限会社スピード配送,,ポリエステル,65%,レーヨン,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,2020/05/22,,200.0,300.0,,,,,,,LNG,,170.0,電力,,130.0,,,,,,,900,,0.3750
0801023690,EP P-12N グレー,08,01,02,369,葛飾区→常磐道→土浦,約1時間30分,自社便,,酸化チタンR型,64.00%,可塑剤DINP,17.70%,PVC P800,12.20%,カーボンブラック,1.21%,炭酸カルシウム,0.70%,黄色酸化鉄,2.68%,安定剤Ca-Zn,1.50%,シアニンググリーン,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,535,570,2022/10/01,,517.5,287.5,172.5,207.0,,,,,LNG,,195.5,電力,,149.5,,,,,,,1035,,0.4312
0801023690,EP P-12N グレー,08,01,02,369,葛飾区→常磐道→土浦,約1時間30分,自社便,,酸化チタンR型,64.00%,可塑剤DINP,17.70%,PVC P800,12.20%,カーボンブラック,1.21%,炭酸カルシウム,0.70%,黄色酸化鉄,2.68%,安定剤Ca-Zn,1.50%,シアニンググリーン,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,535,2009/01/01,,342.0,190.0,114.0,136.8,,,,,LNG,,129.2,電力,,98.8,,,,,,,684,,0.2850
1202010360,ガラスクレネット GW33126,12,02,01,036,岡山土地倉庫→土浦事業所,約2日,,,アルミナ硼珪酸ガラス,約80%,塩ビアクリル系樹脂,約20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.3,2024/09/01,2024年問題による物流費上昇・製造原価上昇・労務費上昇,150.0,200.0,,,,,,,LNG,,212.5,電力,,162.5,,,,,,,1125,,0.4688
1202010360,ガラスクレネット GW33126,12,02,01,036,岡山土地倉庫→土浦事業所,約2日,,,アルミナ硼珪酸ガラス,約80%,塩ビアクリル系樹脂,約20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.98,106.63,2024/04/01,,150.0,200.0,,,,,,,LNG,,212.5,電力,,162.5,,,,,,,1125,,0.4688
1202010360,ガラスクレネット GW33126,12,02,01,036,岡山土地倉庫→土浦事業所,約2日,,,アルミナ硼珪酸ガラス,約80%,塩ビアクリル系樹脂,約20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.98,105.98,2023/06/01,,144.0,192.0,,,,,,,LNG,,204.0,電力,,156.0,,,,,,,1080,,0.4500
